id kategorie;Název kategorie;Celá cesta
180;Kuchyòské roboty;Domácí spotøebièe | Kuchyòské spotøebièe | Pomocníci do kuchynì | Kuchyòské roboty
181;Kuchyòské váhy;Domácí spotøebièe | Kuchyòské spotøebièe | Pomocníci do kuchynì | Kuchyòské váhy
182;Mixéry a šlehaèe;Domácí spotøebièe | Kuchyòské spotøebièe | Pomocníci do kuchynì | Mixéry a šlehaèe
183;Odšavòovaèe;Domácí spotøebièe | Kuchyòské spotøebièe | Pøíprava nápojù | Odšavòovaèe
184;Parní hrnce;Domácí spotøebièe | Kuchyòské spotøebièe | Vaøení | Parní hrnce
185;Rychlovarné konvice;Domácí spotøebièe | Kuchyòské spotøebièe | Pøíprava nápojù | Rychlovarné konvice
186;Sendvièovaèe;Domácí spotøebièe | Kuchyòské spotøebièe | Pomocníci do kuchynì | Sendvièovaèe
187;Sušièky potravin;Domácí spotøebièe | Kuchyòské spotøebièe | Pomocníci do kuchynì | Sušièky potravin
188;Topinkovaèe;Domácí spotøebièe | Kuchyòské spotøebièe | Pomocníci do kuchynì | Topinkovaèe
189;Vaøièe;Domácí spotøebièe | Kuchyòské spotøebièe | Vaøení | Vaøièe
190;Vırobníky zmrzliny;Domácí spotøebièe | Kuchyòské spotøebièe | Pomocníci do kuchynì | Vırobníky zmrzliny
191;Meteorologické stanice;Dùm, byt a zahrada | Bydlení a doplòky | Bytovı textil, doplòky a dekorace | Bytové doplòky | Meteorologické stanice
193;Epilátory a depilátory;Domácí spotøebièe | Péèe o tìlo | Holicí strojky, epilátory a zastøihovaèe | Epilátory a depilátory
194;Holicí strojky;Domácí spotøebièe | Péèe o tìlo | Holicí strojky, epilátory a zastøihovaèe | Holicí strojky
195;Horská slunce a infralampy;Domácí spotøebièe | Péèe o tìlo | Horská slunce a infralampy
196;Kulmy;Domácí spotøebièe | Péèe o tìlo | Péèe o vlasy | Kulmy
197;Fény;Domácí spotøebièe | Péèe o tìlo | Péèe o vlasy | Fény
198;Masání pøístroje a pomùcky;Domácí spotøebièe | Péèe o tìlo | Masání pøístroje a pomùcky
199;Osobní váhy;Domácí spotøebièe | Péèe o tìlo | Osobní váhy
202;Zastøihovaèe vlasù;Domácí spotøebièe | Péèe o tìlo | Holicí strojky, epilátory a zastøihovaèe | Zastøihovaèe vlasù
203;Zastøihovaèe chloupkù;Domácí spotøebièe | Péèe o tìlo | Holicí strojky, epilátory a zastøihovaèe | Zastøihovaèe chloupkù
204;Zastøihovaèe vousù;Domácí spotøebièe | Péèe o tìlo | Holicí strojky, epilátory a zastøihovaèe | Zastøihovaèe vousù
205;Elektrické zubní kartáèky;Domácí spotøebièe | Péèe o tìlo | Péèe o chrup | Zubní kartáèky | Elektrické zubní kartáèky
206;ehlièky na vlasy;Domácí spotøebièe | Péèe o tìlo | Péèe o vlasy | ehlièky na vlasy
207;Robotické vysavaèe;Domácí spotøebièe | Úklid | Robotické vysavaèe
208;Šicí a vyšívací stroje;Kultura a zábava | Volnı èas | Galanterie a šití | Šicí a vyšívací stroje
209;Filtraèní konvice;Domácí spotøebièe | Kuchyòské spotøebièe | Pøíprava nápojù | Filtrace vody | Filtraèní konvice
210;Sestavy vıèepních zaøízení;Domácí spotøebièe | Kuchyòské spotøebièe | Pøíprava nápojù | Vıèepní technika | Sestavy vıèepních zaøízení
211;Vysavaèe;Domácí spotøebièe | Úklid | Vysavaèe
212;ehlièky;Domácí spotøebièe | Praní a péèe o prádlo | ehlièky
213;Alkohol testery;Auto-moto | Alkohol testery
215;Lednice;Domácí spotøebièe | Kuchyòské spotøebièe | Chlazení | Lednice
219;Vitríny a vinotéky;Domácí spotøebièe | Kuchyòské spotøebièe | Chlazení | Vitríny a vinotéky
221;Mikrovlnné trouby;Domácí spotøebièe | Kuchyòské spotøebièe | Vaøení | Mikrovlnné trouby
222;Mraznièky;Domácí spotøebièe | Kuchyòské spotøebièe | Chlazení | Mraznièky
223;Myèky nádobí;Domácí spotøebièe | Kuchyòské spotøebièe | Myèky nádobí
224;Peèicí trouby;Domácí spotøebièe | Kuchyòské spotøebièe | Vaøení | Peèicí trouby
226;Praèky;Domácí spotøebièe | Praní a péèe o prádlo | Praèky
227;Praèky se sušièkou;Domácí spotøebièe | Praní a péèe o prádlo | Praèky se sušièkou
228;Sporáky;Domácí spotøebièe | Kuchyòské spotøebièe | Vaøení | Sporáky
229;Sušièky;Domácí spotøebièe | Praní a péèe o prádlo | Sušièky
231;Digestoøe;Domácí spotøebièe | Kuchyòské spotøebièe | Digestoøe
232;Varné desky;Domácí spotøebièe | Kuchyòské spotøebièe | Vaøení | Varné desky
242;Ohøívací zásuvky;Domácí spotøebièe | Kuchyòské spotøebièe | Vaøení | Ohøívací zásuvky
248;Dámská trièka;Obleèení a móda | Dámská móda | Dámské obleèení | Dámská trièka, tílka a košile | Dámská trièka
250;Dámské košile;Obleèení a móda | Dámská móda | Dámské obleèení | Dámská trièka, tílka a košile | Dámské košile
251;Dámské kalhoty;Obleèení a móda | Dámská móda | Dámské obleèení | Dámské kalhoty a kraasy | Dámské kalhoty
252;Dámské kraasy;Obleèení a móda | Dámská móda | Dámské obleèení | Dámské kalhoty a kraasy | Dámské kraasy
254;Dámské mikiny;Obleèení a móda | Dámská móda | Dámské obleèení | Dámské mikiny
255;Dámské plavky;Obleèení a móda | Dámská móda | Dámské obleèení | Dámské plavky
256;Dámské ponoky;Obleèení a móda | Dámská móda | Dámské obleèení | Dámské ponoky
258;Kalhotky;Obleèení a móda | Dámská móda | Dámské obleèení | Dámské spodní prádlo | Kalhotky
259;Podvazkové pásy;Obleèení a móda | Dámská móda | Dámské obleèení | Dámské spodní prádlo | Podvazkové pásy
260;Podprsenky;Obleèení a móda | Dámská móda | Dámské obleèení | Dámské spodní prádlo | Podprsenky
261;Dámské punèochy;Obleèení a móda | Dámská móda | Dámské obleèení | Dámské punèochy
264;Body;Obleèení a móda | Dámská móda | Dámské obleèení | Dámské spodní prádlo | Body
265;Ostatní dámské sportovní obleèení;Sport | Sportovní odìvy, obuv a doplòky | Sportovní obleèení | Ostatní sportovní obleèení | Ostatní dámské sportovní obleèení
266;Dámské suknì;Obleèení a móda | Dámská móda | Dámské obleèení | Dámské suknì
267;Dámské svetry;Obleèení a móda | Dámská móda | Dámské obleèení | Dámské svetry
268;Dámské šaty;Obleèení a móda | Dámská móda | Dámské obleèení | Dámské šaty
269;Dámské vesty;Obleèení a móda | Dámská móda | Dámské obleèení | Dámské bundy, kabáty a vesty | Dámské vesty
270;Dámské upany;Obleèení a móda | Dámská móda | Dámské obleèení | Dámské noèní prádlo | Dámské upany
275;Kravaty;Obleèení a móda | Módní doplòky | Kravaty a motılky | Kravaty
276;Kabelky;Obleèení a móda | Módní doplòky | Tašky a zavazadla | Kabelky
